Comment_ID,Lemmatized_Review,Label
122,turn light watch roach scamper away sink sewer scrambling car key cursing yelling toppling chair table decoration cello frenzy calling movie wild ride would understatement free falling madness know bong youd know nothing develops way expect im trying best spoil anything leave one takeaway review bong signature dropkick missing drunkard right two time drop kick dont know trust anymore,Negatif
123,bong joonho,Nötr
124,got oscar nomination acting category beyond,Nötr
125,masterpiece win oscar award best picture,Pozitif
126,rewatching multilayered recordbreaking monster film theater postoscar win group occasional movie goer mom included mightve seen otherwise treat noticed subtlety didnt catch first time able breathe little knowing headed left theater first watch extremely satisfied gem seen powerless realization fourth wallbreaking last shot meant story character u viewer well parasitic as need drink,Pozitif
127,hate brilliant movie bye,Nötr
128,masterpiece every sense word,Pozitif
129,one word describe parasite would miraculous go beyond boundary genre language culture deliver story anybody around world could relate even though rooted deeply south korean society ive watched two movie bong joonho enough label master craft way shift humor horror optimism despair effortlessly seamless hard pull story tone shift fluidly without conflicting audience parasite flawlessly,Pozitif
130,parasite total utter knockout masterwork bong joonho darkly comedic emotionally wrought socially relevant absolutely twisted go blind humanly possible bong better win award earthly idea even able compete constantly evolving biting satire gripping tension drama culminates stirring climax shouting rooftop much love cinema flawless work art,Pozitif
131,parasite structured like hill first act incredible trek upward toward light toward rich toward reclaiming sense humanity defined financial stability selfreliance joy quirk enough air breathe allow laughter mischief,Pozitif
132,think greatest heistscam movie movie working class unemployment slowburning thriller much much better,Pozitif
133,original film ive seen long time,Pozitif
134,ive watched parasite 2019 burning 2018 oldboy 2013 guess could say im somewhat korean cinema expert,Nötr
135,bong joonhos satirical black comedy thriller ingeniously wellcrafted film dim view contemporary society unconventional approach atmospherics warrant praise received including winning palme dor 72nd annual cannes film festival well selected south korean admission best international film 92nd academy award,Pozitif
136,pretty toothless imo kind satire intended feel incisive without actually offending centre ostensible target content gently mock obliviousness rich without actually digging systemic abuse existence allows beyond obvious act little dehumanisation least dont think bong really pull whats maybe supposed lightly connect cannibalisation working class rich family feel like he letting family hook real character sketch bong co allow battle precise direction strong humour film around appears actually slice open facade mock without ever really every character equally thin letting one top remain simply foolish instead malicious level feel cowardly lazy maybe thats kind satire allows class comedy win top prize prestigious film festival world maybe wouldnt harsh wasnt presented semiarthouse context b audienceimplicating look camera made clear lark random genrehead premiered fantastic fest whatever id probably give slack made one respected international filmmaker currently working one enough recognition actually get real play englishlanguage country feel like copout made feel tiresome bit boring,Pozitif
137,parasite many scene characterized presence stair going splendid villa rich park family incredibly long stairway surround city seoul lead squalid smelly neighborhood proletarian kims live bong joonhos film story social opposition difficulty people belonging lower class face trying improve condition often fact find bottom ladder desperately try move step society redeem misery original situation nevertheless great wealth high social position tend neglect reality weaker section population disregard come cost south korean director weave theme together ironic grotesque introduction however later give way dramatic disturbing tone shift register unsettling inserted natural way narrative thanks masterful writing direction perfect performance ensemble cast,Pozitif
138,plan keep coming,Nötr
139,despite challenge historic moment finally came fruition exactly one year ago today 9 film nominated best picture category 92nd academy award 1 asian odds generally always stacked film character speaking language isnt english everyone understand language beyond native one general public isnt fond subtitle remember rooting film watching livestream event thought best international feature film last award get entire 92year history academy nonenglish film ever coveted best picture recall rooting jojo rabbit let face academy sure love giving feelgood movie award 1917 divine onetake effect bewildered theatersa place miss way worst case scenario leastliked nominated film joker win lack confidence parasite winning isnt backed anything statistically speaking ten nonenglish language film ever nominated category failed snatch award includes life beautiful rom two film completely shattered first watch winner announced indeed parasite swear last good thing ever happened 2020,Pozitif
140,2019 release rankedhere,Nötr
141,know kind plan never fails plan plan know life planned,Pozitif
142,fucking good,Pozitif
143,disappoints many people adore movie dont want discordant opinion especially stand totally opposite camp though simply didnt care parasite think gross failure,Negatif
144,well knownonce ive bong joonhoed,Pozitif
145,know plan never fails plan absolutely plan father,Pozitif
146,worried wouldnt get see theater got ta say despite varying outcome net skull durability film astounding,Pozitif
147,mentally im basement,Nötr
148,man animal esteem rich proportion number voracity parasite,Pozitif
149,perhaps greatest aspect masterpiece aside immense writing symbolism performance gripping plot joonhos visual storytelling little detail like family rush back household flood camera pan show family descending flight stair end shot camera transitioning window downwards symbolizing u going back reality showing near impossible escape system constantly dragging could write whole dissertation visual language alone probably magnum opus far tackling classism dichotomy elite less fortunate experience keep giving rewatch,Pozitif
150,maybe real parasite rich people killed along way,Negatif
151,lowerright region painting called schizophrenia zone,Nötr
152,hit boooong,Nötr
153,shes rich still nice,Pozitif
154,modeling plan next birthday party movie,Pozitif
155,third viewing feel like analysing enjoying there much never noticed think thing made upset fact tent u much durable home working class korean,Pozitif
156,know kind plan never fails plan plan know life planned,Pozitif
157,dogeatdog portrait drawn leash hand true freedom impossible bleak cinematic worldview sharpened tool denounce rich general halfhearted lament world play idiosyncrasy every member rich park family show there unwavering feeling bong joonho doesnt wish name name doesnt wish implicate anyone particular sort people he critiquing movie entire richpoor class consciousness farce binary structure hate say ive always known quite daring wunderkind hide behind ive thought bong filmmaker someone who certainly interested evil capitalism class structure recent rewatch muchrevered parasite feel ive gained clearer mind movie mean,Pozitif
158,watched bw version let say there something unsettling colored counterpart impact still relevant impactful ever monochrome nonetheless,Nötr
159,sicko mode howard end,Nötr
160,parasite uncertain term fucking great funny suspenseful deeply powerful genuinely creative unpredictable way dont often see acute understanding physical emotional boundary social class anything core concerned human being specifically family way navigate construct even break boundary empathy utmost importance story,Pozitif
161,masterwork firstrate storytelling present distinguished filmmaker bong joonho apex craft parasite tale two family extreme end class spectrum chain event set motion path collide crafted vigour told confidence film offer cleverly layered defiantly eclectic extravaganza laughing one moment questioning laughter next,Pozitif
162,overcome oneinch tall barrier subtitle introduced many amazing film period nothing left say,Pozitif
163,bong touch tm laugh loud comedy recoiling horror man indecency man awe cinematic dance inspired choreography camera actor editing,Pozitif
164,lee sunkyun showed film looking vulgar sexy man meet,Pozitif
165,may take get going parasite give witty yet morbid story many thematic layer uncover tonne unpredictable twist great direction camera shot plenty chew come poor rich relationship capitalist system governs entire life individual parasite world,Pozitif
166,grade masterpiece 5 5,Pozitif
167,ive finally done ive finally watched parasite took long knowsbut ive done,Nötr
168,know kind plan never fails,Pozitif
169,first year lifetime best picture winner actually best film year theyll blow next year,Pozitif
170,sock blown,Nötr
171,masterclass every possible way,Nötr
172,bong joonho master cinematic metaphor delivers film time parasite masterwork first film year obviously future classic one watch tense unexpected beyond satisfying payoff satire parasite interaction class comedy perfectly balanced nuance class function era consumerism within service sector country despite huge international success parasite feel beautifully uncompromised korean flavour violent genrecrossing streak hollywood rarely aim korean cinema excels parasite bong joonhos best film one capture heart wonderful best kind cinema,Pozitif
173,know fact could build house minecraft,Nötr
174,thats history,Nötr
175,james said wanted show movie today even though birthday movie there clearly birthday party scene forgor,Pozitif
176,one welldeserved oscar ever brilliant piece art,Pozitif
177,youll walk stair,Nötr
178,parasite isnt bong joonho film vessel god set chose dont know place question,Pozitif
179,know kind plan never fails plan plan know life planned,Pozitif
180,u learn take care thats big lesson movieif dont became parasite,Pozitif
181,trying live one day spite everything loss capitalism leaf u unfathomable often extent lose hope broken numbed horror systematic state oppression class divide even trauma people go still desperation aesthetic richness false image life positioned suffering deeply heartbreaking movie excited cover full next month publication ive never worked,Negatif
182,expecting ate movie fucking slap,Pozitif
183,discussed,Nötr
184,wow ive seen every best picture winner,Pozitif
185,kitaek rich still nice,Pozitif
186,baby infiltration completed got golden rock,Nötr
187,everybody please stand national anthem,Pozitif
188,whats better watching parasite watching parasite lucas hedge sits edge seat two row front gently playing hand entire time,Pozitif
189,im ngl im currently typing austin house basement lol,Pozitif
190,favorite tiff favorite year immensely enjoyable ride start finish got comedy got mystery got thrill got heart,Pozitif
191,masterpiece,Pozitif
192,im saying doesnt win best picture sunday im sure there rich academy member whose child need tutoring hire,Negatif
193,brilliant captivating creative incredible film complete masterpiece happy able see unfold big screen bong joonho creates world mesmerizing witness going completely blind expectation looming shoulder good idea lost awe wonderful creation best film year mark word,Pozitif
194,racing heart soaked grass stain peach fuzz parasite mould pulse blood stain sticky burning hot sauce sachet sunlight sweat across floorboard ooze black back expect laugh gasp feel vein ignite film felt soul beat chest reached inside twisted mind pool reddish honey stole part,Pozitif
195,wild bong joonho listened aristocrat poppy turned film,Nötr
196,reason movie didnt find way town theatre wait trip munich finally made possible long overdue aaaaaaaaaaaaaand bing bang bongthat quick watch wanted immediatly see wasnt possible financial time porpuses here little poemrap thats hopefully ambiguous enough give anything away,Pozitif
197,know kind plan never fails plan plan know life planned,Pozitif
198,black white version,Nötr
199,catching oscar runner ups mom head towards academy award,Pozitif
200,english version,Nötr
201,hit different youre going full selfisolation mode,Nötr
202,nothing ever top peachhot sauce scene,Negatif
203,parasite behemoth film ive put watching since ive letterboxd account afraid hype prestige surrounding film would hamper viewing experience could film possibly live expectation,Nötr
204,one best crafted movie time urge everyone watch least 2nd time amount foreshadowing symbolism reference throughout film mindblowing peach fuzzhot sauce bloody napkin scene seriously incredible thing ive ever watched ahhh love movie,Pozitif
205,im absolutely blown away,Nötr
206,cannes 2019,Nötr
207,movie reason passed school test biology,Nötr
208,wish choi wooshik would hold like hold rock,Pozitif
209,leave expectation door believe hype taking home top honor cannes sydney film festival anticipation expectation parasite time high point worried set disappointment,Pozitif
210,formally certainly accomplished make great use space particularly elegantly minimalistic home poor family scurry around choreography sequence dizzying flurry activity lithe blunt body noiselessly kicked top stair land sickening crunch image rigidly contrived conform film message dont ever feel revelatory feel hollow,Pozitif
211,today lost incredible actor destroyed entity one damn thing goodbye lee sunkyun thank,Negatif
212,lack movie released year mean parasite get nominated oscar next year,Negatif
213,kip reckon know lot cyberspace ever come across anything like time travel,Pozitif
214,wow movie gorgeously shot amazing score incredible script acting direction bong joonho clearly completemasterful control craft,Pozitif
215,movie probably better favorite movie,Pozitif
216,year,Nötr
217,still need watch lighthouse currently new favorite movie year 23 movie im curious towards movie considered masterpiece 45 rating letterbox good movie get last third become close masterpiece thats everything come together,Pozitif
218,director bong joon ho made diverse set film true police procedural saga memory murder scifi premise people smooshed futuristic train world freeze snowpiercer inbetween subtle compelling mother elder woman anything prove son innocent crime driving forward quest break sanity ive digest healthy admiration yet loved single one joon ho tainted third act gratuitous complication intrinsic detail thats meted vague choice visuals cogent enough kind virtuosity needed,Pozitif
219,trump big fat white nasty smelling fat bitch took motherfuckin schedule trifflin dirty white racist as big fat bitch oompa loompa body as bitch im coming,Negatif
220,doesnt even need review parasite,Nötr
221,going start recommending people havent seen yet saying fun whole family wait sue,Pozitif
222,four time academy award winning film parasite,Pozitif
223,bong joon ho parasite fantastic film also first movie ever reviewed letterboxd adore film first review helped become better writer first review shorter really depth try best really explain film work doesnt dont consider fantastic critic especially since seen plenty far better writer critic letterboxd happy people like review since 2year anniversary letterboxd wanted go back parasite explain great film depth,Pozitif
224,jessica child illinois chicago,Nötr
225,dad said still prefers irishman looking new family,Nötr
226,perfect representation u first half gon na lie,Pozitif
227,best movie year,Pozitif
228,class critique bong joonhos snowpiercer subtlety axe fight parasite isnt quite blunt isnt subtle either hatchet eventually involved genius way movie little detail character touch lead absolutely bonkers climaxafter shocking twist wont revealthat nevertheless feel inevitable,Negatif
229,rich people naive resentment crease,Negatif
230,extraemily squeex collabing mizkif house,Nötr
231,far good thing happen 2020 movie best picture,Pozitif
232,listen know im late party please dont make fun holy shit good,Pozitif
233,bong joonhos newest film isnt messing,Nötr
234,really enjoyed movie basically everything going violence sex knife rock rich people point contention lie lack strong marketable comedic relief mascot example werent minion movie minion funny banana hahahahaha,Pozitif
235,showed parasite friend mine completely freaking bunker revelation scene hand even knowing gon na happen,Pozitif
236,excellent exploration darker part capitalism thing people paper slightly ironic watched plane thats besides point,Pozitif
237,parasite everything right,Nötr
238,probably wasnt best movie watch long car ride already self conscious smell,Negatif
239,im actually sad knowing last 4 year couldve movie life like take long see added favorite,Pozitif
240,ok ramdom sound fucking great need eat,Pozitif
241,parasite wormed way skin clawed every part sharp teeth leeching sucking every last drop blood follow kims impoverished family bred soot dirt acrid subterranean odor live dingy dilapidated semibasement apartment sunlight manages leak tiny window placed near ceiling one day opportunity come knocking door eldest son kiwoo land tutoring gig teenage daughter park family cloistered ultramodern mansion situated affluent upper side town kim family seize deliciously devious scheme soon symbiotic relationship established two family unexpected chain event occurs threatens disturb kims newfound comfort,Negatif
242,parasite live hype 100 yes wow movie,Pozitif
243,want pizza girl kiss,Pozitif
244,ah shit go,Negatif
245,nyc apartment listing like gorgeous cozy dank fixer upper studio apartment basement kitchen people fridge youre feeling risky share space creepy smelly squatter think roommate company rare find sell fast 5k month utility included,Pozitif
246,happy new year 14 minute midnight still semantics parasite winning best picture surely peak 2020 feel appropriate close year well,Pozitif
247,hey mom friend go tomorrow eat rich academy already said ok,Pozitif
248,spent rewatch trying decide acting performance thought best eventually decided absolutely way choose perfect ensemble every character seemed completely livedin good lord movie,Pozitif
249,take back parasite oscar hype tell era closest weve ever world peace,Pozitif
250,parasite life parasite love,Pozitif
251,given justifiable hype followed bong joonhos coruscating social satire managed avoid knowing much bare bone poor family infiltrates rich one thing get dark going probably think know exactly title alludes wouldnt wrong exactly smarter opaque film unlike lot release 2019 year societal cannibalism straightforward story poor eating rich cut way park representative parasitical strain top pile exploiting economic division maintain privilege much kims family emblematic rapacious bottom feeder bong whole stinking system sight,Negatif
252,rich still nice shes nice shes rich hell money id nice chungsook,Pozitif
253,feelin peachy,Nötr
254,call crazy think allowed cut anyone give movie less 5 star deserves dont need kind toxic behavior life,Negatif
255,know kind plan never fails plan,Pozitif
256,parasite exceptional cinematic masterpiece defies genre boundary leaf indelible mark viewer mind bong joonhos direction tour de force seamlessly weaving tale social satire suspense dark humor gripping narrative,Pozitif
257,say ghost house brings wealth actually money good recently,Pozitif
258,one greatest thriller ever put screen masterfully portraying social scale term wealth twist abrupt outrageous creates complete shift tone remainder film bong joonho produced masterpiece one,Pozitif
259,one thing left say,Nötr
